family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
kofleriaceae	0	0	0	0	0	0	0	0.0103903300661517680878329200
marchantiaceae	0	0	0	0	0.0143499473835262604037118500	0	0	0
geodermatophilaceae	0	0.0096181590843512551697605100	0	0.0078294521620472898910587700	0	0.0256428188451406858288458400	0.009216377502822515610239400	0.3255636754060887334187649400
thermoactinomycetaceae	0	0.0769452726748100413580840600	0	0	0	0	0	0
erysipelotrichaceae	0.0104794341105580298663872200	0.0384726363374050206790420300	0	0.0011184931660067556987226800	0	0	0	0
desulfobacteraceae	0	0	0	0	0	0.0396298109424901508263981200	0	0
veillonellaceae	0	0	0	0.0022369863320135113974453600	0	0.0046623306991164883325174300	0.1290292850395152185433515400	0
bacillaceae	0.0209588682211160597327744300	0.0288544772530537655092815200	0.318004787937256583413727800	0.0704650694584256090195288900	0.136324500143499473835262600	0.0489544723407231274914329700	8.002119766825649178590355060	0.0692688671076784539188861600
clostridiaceae	0	0.0192363181687025103395210200	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0.0046623306991164883325174300	0.7234856339715674754037925400	0.0034634433553839226959443100
muridae	0	0	0	0	0	0.0093246613982329766650348500	0	0
succinivibrionaceae	0	0	0	0	0	0.018649322796465953330069700	0	0
porphyromonadaceae	0.0576368876080691642651296800	0	0.0214385250294779719155322100	0.0123034248260743126859494900	0.0023916578972543767339519800	0.0489544723407231274914329700	1.8663164443215594110734775700	0
ignavibacteriaceae	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1290292850395152185433515400	0
deinococcaceae	0	0	0	0	0	0	0	0.0138537734215356907837772300
micrococcaceae	0.0995546240503012837306785400	0.0865634317591612965278445700	0.0250116125343909672347875800	0.0615171241303715634297474400	0.117191236965464459963646800	0.1934867240133342657994731600	0.193543927559272827815027300	3.1448065666886018079174315100
acidobacteria	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0	0.5483744614179396788092440300	0
flavobacteriaceae	0	0.0673271135904587861883235500	0.6860328009432951012970307600	0.029080822316175648166789700	0.0215249210752893906055677800	0.0419609762920483949926568300	4.2395336512983571807101218900	0.0554150936861427631351089300
actinomycetaceae	0.0157191511658370447995808200	0.0769452726748100413580840600	0.0107192625147389859577661100	0.0078294521620472898910587700	0.0143499473835262604037118500	0.0069934960486747324987761400	0.9677196377963641390751365200	0.0034634433553839226959443100
mucoraceae	0.068116321718627194131516900	0	0	0.0011184931660067556987226800	0.1004496316846838228259829700	0	0	0
dietziaceae	0.0366780193869531045323552500	0	0.2465430378389966770286204300	0.0033554794980202670961680400	0.0502248158423419114129914900	0	0.0460818875141125780511969800	0.0207806601323035361756658500
halomonadaceae	0.0838354728844642389310977200	0.1057997499278638068673655900	0.2108121627898667238360667500	0.0033554794980202670961680400	0.1698077107050607481105902600	0.0792596218849803016527962300	0.1405497569180433630561507800	0
halothiobacillaceae	0	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0	0	0.1658947950508052809843091200	0
malasseziaceae	0	0	0	0	0	0	0.0115204718785281445127992400	0
cyanobacteriaceae	0	0	0	0	0	0	0.0115204718785281445127992400	0
methylophilaceae	0.0052397170552790149331936100	0	0	0	0.0502248158423419114129914900	0	0	0
piscirickettsiaceae	0	0	0	0.0011184931660067556987226800	0	0	0.0529941706412294647588765200	0
pasteurellaceae	0.0523971705527901493319360800	0	0	0	0	0.0116558267477912208312935600	0	0
alcaligenaceae	0.0052397170552790149331936100	0	0	0	0	0	0	0.0069268867107678453918886200
chitinophagaceae	0	0	0	0.0044739726640270227948907200	0.1052329474791925762938869200	0.2307853696062661724596125600	1.2856846616437409276283956600	0.0069268867107678453918886200
acidimicrobiaceae	0	0	0	0	0	0	0.0552982650169350936614363700	0
enterobacteriaceae	72.08278752947340843594445900	48.379340194286813503895354430	0.7539214635366420123628827700	1.0469096033823233340044292300	87.57294556586625849038553525	5.3896542881786605123901438300	30.054607036704223404990668420	3.186367886953208880268763200
bdellovibrionaceae	0	0	0	0.0011184931660067556987226800	0	0.0093246613982329766650348500	0.0898596806525195271998341100	0
poaceae	0	0	0	0	0	0	0	0.0311709901984553042634987700
saprospiraceae	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0069934960486747324987761400	0.801824842745558858090827400	0
sphingobacteriaceae	0	0	0.0464501375638689391503197900	0.0033554794980202670961680400	0.0047833157945087534679039500	0.0862531179336550341515723700	1.2718600953895071542130365700	0
brucellaceae	0	0.0096181590843512551697605100	0.0893271876228248829813842100	0.0011184931660067556987226800	0	0.0489544723407231274914329700	0.5460703670422340499066841800	0
intrasporangiaceae	0	0.0096181590843512551697605100	0.0071461750098259906385107400	0	0	0.0209804881460241974963284100	0	0.0034634433553839226959443100
sphingomonadaceae	0.0052397170552790149331936100	0.0480907954217562758488025400	0.0214385250294779719155322100	0.0134219179920810683846721700	0.2487324213144551803310054500	2.1539967829918176096230505600	0.7303979170986843621114720900	0.04502476361999099504727600
beijerinckiaceae	0	0	0.0107192625147389859577661100	0	0	0	0	0
staphylococcaceae	0.5868483101912496725176840500	0.2308358180244301240742521900	0.0786079251080858970236181100	0.0223698633201351139744536200	0.6887974744092604993781689500	0.1911555586637760216332144400	1.0829243565816455842031289600	0.0277075468430713815675544600
alcanivoracaceae	0	0	0	0	0	0.0419609762920483949926568300	0	0
labilitrichaceae	0	0	0	0	0	0	0.1728070781779221676919886600	0
williamsiaceae	0	0	0	0	0	0.0326363148938154183276219800	0	0
thermomonosporaceae	0	0	0	0	0	0	0.0368655100112900624409575800	0
thermoanaerobacteraceae	0	0	0	0.0022369863320135113974453600	0	0	0.1105965300338701873228727400	0
coriobacteriaceae	0	0	0	0	0	0	0.0184327550056450312204787900	0
thermaceae	0	0	0	0	0	0	0.009216377502822515610239400	0
bacteroidaceae	0.0052397170552790149331936100	0	0.0071461750098259906385107400	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1359415681666321052510310800	0
