identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
marchantiaceae	0	0	0	0	0.0143499473835262604037118500	0	0	0
hyphomicrobium facile	0.0157191511658370447995808200	0	0	0	0	0.0303051495442571741613632700	0	0
acetobacteraceae	0	0	0	0.0011185181871057223390452300	0	0	0	0.0103903300661517680878329200
clostridium	0	0.0192363181687025103395210200	0	0.0011185181871057223390452300	0	0	0	0
klebsiella	0.0157191511658370447995808200	0.0384726363374050206790420300	0	0.0055925909355286116952261600	0.0860996843011575624222711200	0.0046623306991164883325174300	0.0531263714688286790012242200	0
syntrophomonas spp.	0	0	0.0428816466552315608919382500	0	0	0	0	0
pseudomonas oryzihabitans	0	0	0	0.0022370363742114446780904700	0	0	0.1247314808398586376550481600	0
xylella	0	0	0	0	0	0.0116558267477912208312935600	0	0
massilia timonae	0.419177364422321194655488600	0.4712897951332115033182648800	0.2680102915951972555746140700	0.3131850923896022549326652100	0.5309480531904716349373385600	0.4662330699116488332517425500	0.2656318573441433950061210800	65.864302289336057908772902020
bacteroides dorei	0.0052397170552790149331936100	0	0.0035734705546026300743281900	0.0011185181871057223390452300	0	0.0023311653495582441662587100	0.0023098422377751599565749700	0
halomonas xinjiangensis	0.0157191511658370447995808200	0.0384726363374050206790420300	0.2108347627215551743853630600	0.003355554561317167017135700	0.1698077107050607481105902600	0.0792596218849803016527962300	0.1409003765042847573510729200	0
saprospiraceae	0	0.0096181590843512551697605100	0	0.0011185181871057223390452300	0	0.0023311653495582441662587100	0.1986464324486637562654470700	0
clostridiales	0	0	0	0.0011185181871057223390452300	0	0.0093246613982329766650348500	0.5982491395837664287529161800	0.0034634433553839226959443100
saccharomycetales	0	0	0	0	0	0	0.0392673180421777192617744200	0
leucobacter luti	0	0	0	0	0	0	0.006929526713325479869724900	0
haemophilus parainfluenzae	0.0052397170552790149331936100	0	0	0	0	0.0116558267477912208312935600	0	0
prevotella spp.	0	0.0288544772530537655092815200	0	0	0	0	0	0
xanthomonas sp.	0	0	0.028587764436821040594625500	0	0	0	0	0
kofleriaceae	0	0	0	0	0	0	0	0.0103903300661517680878329200
burkholderia spp.	0	0	0	0	0	0	0.1293511653154089575681980900	0
nosema furnacalis	0.0052397170552790149331936100	0.0192363181687025103395210200	0	0	0	0	0	0
streptococcus sanguinis	0.2462667015981137018600995500	0.0096181590843512551697605100	0.1286449399656946826758147500	0.0022370363742114446780904700	0.1626327370132976179087343300	0.1608504091195188474718511800	0.0739149516088051186103989100	0
pelobacter spp.	0	0	0	0	0	0	0.006929526713325479869724900	0
sphingomonas sp.	0.0052397170552790149331936100	0	0.0214408233276157804459691300	0.0078296273097400563733166300	0.0071749736917631302018559300	1.7623610042660325896915868200	0.0438870025177280391749243500	0.0173172167769196134797215400
