species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
pantoea spp.	33.314121037463976945244956770	18.053284601327305953640473210	0.6109979633401221995926680200	0.8981500123034248260743126900	85.57112790586434516406773175	4.8698044152271720633144508900	29.810373032879426741319324440	3.0097322758286288227756035100
bifidobacterium thermophilum	0	0.0384726363374050206790420300	0.0821810126129988923428734800	0.0078294521620472898910587700	0.0573997895341050416148474100	0.0256428188451406858288458400	1.7395912536577498214326858800	0.0069268867107678453918886200
alcanivorax dieselolei	0	0	0	0	0	0.0419609762920483949926568300	0	0
erysipelothrix rhusiopathiae	0.0104794341105580298663872200	0.0192363181687025103395210200	0	0	0	0	0	0
actinomyces johnsonii	0.0104794341105580298663872200	0	0.0035730875049129953192553700	0	0.009566631589017506935807900	0.0046623306991164883325174300	0.0714269256468744959793553100	0
streptococcus sanguinis	0.2462667015981137018600995500	0.0096181590843512551697605100	0.1286311501768678314931932700	0.0022369863320135113974453600	0.1626327370132976179087343300	0.1608504091195188474718511800	0.0737310200225801248819151600	0
haliangium spp.	0	0	0	0	0	0	0	0.0103903300661517680878329200
terrimonas spp.	0	0	0	0	0.0023916578972543767339519800	0	0.1820234556807446833022280600	0
candida sp.	0	0	0	0	0	0	0.0391696043869956913435174300	0
novosphingobium subarcticum	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0582791337389561041564678200	0.3686551001129006244095758200	0
acidobacterium spp.	0	0	0	0	0	0	0.0645146425197576092716757700	0.0138537734215356907837772300
pythium nagaii	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0	0.0460818875141125780511969800	0
cardiobacterium hominis	0	0	0	0	0.0430498421505787812111355600	0	0	0
brachybacterium arcticum	0	0	0	0.0011184931660067556987226800	0	0.0233116534955824416625871300	0.103684246906753300615193200	0.0138537734215356907837772300
mucor plumbeus	0.068116321718627194131516900	0	0	0.0011184931660067556987226800	0.1004496316846838228259829700	0	0	0
dietzia maris	0.0052397170552790149331936100	0	0	0.0022369863320135113974453600	0	0	0.0414736987627013202460772800	0.0138537734215356907837772300
halomonas xinjiangensis	0.0157191511658370447995808200	0.0384726363374050206790420300	0.2108121627898667238360667500	0.0033554794980202670961680400	0.1698077107050607481105902600	0.0792596218849803016527962300	0.1405497569180433630561507800	0
homo sapiens	0	0	0	0.0067109589960405341923360800	0	0	0.0023040943757056289025598500	0
acinetobacter towneri	0.0419177364422321194655488600	0.0673271135904587861883235500	0.0071461750098259906385107400	0.0044739726640270227948907200	0.4568066583755859561848273200	0.0489544723407231274914329700	0.2465380982005022925739038300	0.0069268867107678453918886200
thermoanaerobacterium saccharolyticum	0	0	0.0035730875049129953192553700	0	0	0	0.1497661344208658786663901800	0
enterococcus spp.	0.0157191511658370447995808200	0	0.2429699503340836817093650600	0.3243630181419591526295774300	0	0.0023311653495582441662587100	0	0
alloscardovia omnicolens	0	0	0	0	0	0.0209804881460241974963284100	0	0
eubacterium spp.	0	0	0	0	0.0286998947670525208074237100	0	0	0
mesorhizobium septentrionale	0	0	0	0	0	0.0116558267477912208312935600	0	0
leptolyngbya mycoidea	0	0	0	0.0011184931660067556987226800	0	0	0.1428538512937489919587106300	0
serratia marcescens	0.1519517946030914330626146200	0.4616716360488602481485043800	0.0285847000393039625540429500	0.005592465830033778493613400	0.7509805797378742944609203100	0.1561880784204023591393337500	0.0299532268841731757332780400	0.0173172167769196134797215400
altererythrobacter spp.	0	0	0	0	0.0143499473835262604037118500	0.0256428188451406858288458400	0	0
comamonas jiangduensis	0	0.0096181590843512551697605100	0.0178654375245649765962768400	0	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1543743231722771364715098700	0.0034634433553839226959443100
finegoldia magna	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0.0023916578972543767339519800	0.0233116534955824416625871300	0.1774152669293334254971083600	0
rubellimicrobium spp.	0	0.0096181590843512551697605100	0	0	0	0.0326363148938154183276219800	0	0
candidatus rhabdochlamydia porcellionis	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.7373102002258012488191516300	0
pelobacter spp.	0	0	0	0	0	0	0.0069122831271168867076795500	0
gemmatimonas spp.	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0.0103903300661517680878329200
bradyrhizobium spp.	0.0052397170552790149331936100	0	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1681988894265109098868689700	0
methylobacterium thiocyanatum	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0.0419609762920483949926568300	0	0
crocinitomix spp.	0	0	0	0.0033554794980202670961680400	0	0	0.2050643994378009723278265500	0
rhizobium mongolense	0	0	0	0	0.0023916578972543767339519800	0.0209804881460241974963284100	0	0
enterococcus faecalis	2.7194131516898087503274823200	1.106088294700394344522458400	82.81702218887340550970093258	81.55269221305057826096682549	0.6218310532861379508275136300	0.3566682984824113574375830500	0.7764798046127969401626690600	0.4467841928445260277768157100
sandaracinobacter sibiricus	0	0	0	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0
sphingobacterium faecium	0	0	0	0	0	0	0.0069122831271168867076795500	0
natronobacillus azotifigens	0	0	0	0	0	0.0256428188451406858288458400	0	0
marchantia polymorpha	0	0	0	0	0.0143499473835262604037118500	0	0	0
bosea sp.	0	0	0	0	0.0860996843011575624222711200	0.0023311653495582441662587100	0.099076058155342042810073500	0.0034634433553839226959443100
thermomonas spp.	0	0	0	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.2880117969632036128199811100	0
aquabacterium spp.	0.0157191511658370447995808200	0.0384726363374050206790420300	0.057169400078607925108085900	0.0100664384940608012885041300	0.0717497369176313020185592700	2.5223209082220201878919271700	0.2834036082117923550148614100	0.0242441034876874588716101500
tistrella spp.	0	0	0	0	0	0	0.0437777931384069491486371300	0
