phylum	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
ascomycota	0	0.0577089545061075310185630500	0	0	0	0	0.1635907006750996520817492700	0
bacteroidetes	0.1257532093266963583966465800	0.1057997499278638068673655900	1.1219494765426805302461857300	0.0603986309643648077310247600	0.1698077107050607481105902600	0.4895447234072312749143296700	10.343079652542568143591161490	0.1974162712568835936688255500
chloroflexi	0	0	0.0500232250687819344695751600	0.0145404111580878240833948500	0.0310915526643068975413756800	0.0256428188451406858288458400	2.0552521831294209810833851800	0
arthropoda	0	0	0.0071461750098259906385107400	0	0.0047833157945087534679039500	0	0.0253450381327619179281583400	0
actinobacteria	0.2986638721509038511920356300	0.5193805905549677791670674200	0.7253367634973380498088398200	0.1353376730868174395454443800	0.4304984215057878121113555900	0.5734666759913280648996433300	7.6104237229556922651551807600	3.7474457105254043570117410700
verrucomicrobia	0	0	0.0250116125343909672347875800	0	0	0.0279739841946989299951045500	0	0.0554150936861427631351089300
nematoda	0.0052397170552790149331936100	0	0	0	0	0	0.009216377502822515610239400	0
basidiomycota	0	0	0.0071461750098259906385107400	0	0	0	0.0138245662542337734153590900	0
cyanobacteria	0.0366780193869531045323552500	0.1827450226026738482254496500	0.0214385250294779719155322100	0.029080822316175648166789700	4.5369750310915526643068975400	0.3799799519779937991001701800	0.2373217206976797769636644300	0.7030790011429363072766944900
eukaryota	0.0419177364422321194655488600	0.0865634317591612965278445700	0	0.0022369863320135113974453600	0.0047833157945087534679039500	0.0396298109424901508263981200	0.0460818875141125780511969800	0
chlamydiae	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.7373102002258012488191516300	0
streptophyta	0.0052397170552790149331936100	0.0384726363374050206790420300	0	0.0022369863320135113974453600	0.68401415861475174591026500	0	0.0345614156355844335383977300	0.0761957538184462993107747700
acidobacteria	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0	0.6128891039376972880809197900	0.0138537734215356907837772300
gemmatimonadetes	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0.0103903300661517680878329200
planctomycetes	0	0	0	0.0011184931660067556987226800	0	0	0.1774152669293334254971083600	0
chordata	0	0	0	0.0067109589960405341923360800	0	0.0093246613982329766650348500	0.0023040943757056289025598500	0
ignavibacteriae	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0.0023311653495582441662587100	0.1290292850395152185433515400	0
firmicutes	4.1970133612784909614880796400	2.2410310666538424545541983300	94.84046164290563475899524779	97.64892736505379952128492495	2.8341146082464364297330909800	1.3241019185490826864349488300	32.667450058754406580493537020	0.9385931493090430506009074200
microsporidia	21.666230023578726748755567200	46.580744445513128787150139460	0.7181905884875120591703290800	0.1521150705769187750262845900	0.0526164737395962881469434600	0.0582791337389561041564678200	0.0460818875141125780511969800	0.0519516503307588404391646200
euryarchaeota	0	0	0.0035730875049129953192553700	0	0	0	0.4446902145111863781940508300	0
proteobacteria	73.549908304951532617238669110	50.149081465807444455131287870	2.4725765533997927609247150500	1.940585643021721137283851200	91.04802449057686788481775567	97.06972515560528708301279810	44.634916246169443100389391950	94.18834204966577771620545146
fusobacteria	0	0.0384726363374050206790420300	0	0	0	0	0	0
fungi	0.068116321718627194131516900	0	0	0.0011184931660067556987226800	0.1195828948627188366975987800	0	0	0
deinococcus_thermus	0	0	0	0	0	0	0.009216377502822515610239400	0.0138537734215356907837772300
tenericutes	0	0	0	0	0.0071749736917631302018559300	0	0	0.0034634433553839226959443100
