genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
enhydrobacter	0.0104794341105580298663872200	0.1731268635183225930556891400	0	0	0	0	0.0023040943757056289025598500	0.0173172167769196134797215400
pirellula	0	0	0	0.0011184931660067556987226800	0	0	0.0967719637796364139075136500	0
adhaeribacter	0	0	0	0.0022369863320135113974453600	0	0.0536168030398396158239503900	0	0.0069268867107678453918886200
cyanothece	0	0	0.0035730875049129953192553700	0	0.0382665263560700277432316100	0	0	0
candidatus competibacter	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0	0.3248773069744936752609386900	0
kocuria	0.0157191511658370447995808200	0	0	0	0	0.0396298109424901508263981200	0	0
legionella	0	0	0	0	0	0.0116558267477912208312935600	0	0
actinomyces	0.0157191511658370447995808200	0.0769452726748100413580840600	0.0107192625147389859577661100	0.0078294521620472898910587700	0.0143499473835262604037118500	0.0069934960486747324987761400	0.9677196377963641390751365200	0.0034634433553839226959443100
salinisphaera	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0.090915448632771522484089800	0	0.0207806601323035361756658500
alcanivorax	0	0	0	0	0	0.0419609762920483949926568300	0	0
syntrophomonas	0	0	0.0428770500589559438310644200	0	0	0	0	0
cyanobacterium	0	0	0	0	0	0	0.0115204718785281445127992400	0
halotalea	0.068116321718627194131516900	0.0673271135904587861883235500	0	0	0	0	0	0
candidatus rhabdochlamydia	0	0	0	0.0011184931660067556987226800	0.0023916578972543767339519800	0	0.7373102002258012488191516300	0
williamsia	0	0	0	0	0	0.0326363148938154183276219800	0	0
labilithrix	0	0	0	0	0	0	0.1728070781779221676919886600	0
blautia	0.0157191511658370447995808200	0	0	0.0011184931660067556987226800	0	0.0069934960486747324987761400	0	0
strongyloides	0.0052397170552790149331936100	0	0	0	0	0	0.009216377502822515610239400	0
fluviicola	0.0314383023316740895991616500	0	0.0357308750491299531925536900	0	0	0	0	0
luteimonas	0	0	0.0393039625540429485118090500	0	0	0.0023311653495582441662587100	0	0
chloroflexus	0	0	0.0393039625540429485118090500	0.0011184931660067556987226800	0.0263082368697981440734717300	0.0233116534955824416625871300	0.1958480219349784567175871500	0
ilumatobacter	0	0	0	0	0	0	0.0552982650169350936614363700	0
brachybacterium	0	0	0	0.0011184931660067556987226800	0	0.0233116534955824416625871300	0.103684246906753300615193200	0.0138537734215356907837772300
pedomicrobium	0	0	0	0	0	0	0.1681988894265109098868689700	0
leucobacter	0	0	0	0	0	0	0.0069122831271168867076795500	0
virgibacillus	0	0	0	0	0	0	0.1589825119236883942766295700	0
lactococcus	0.0314383023316740895991616500	0.0288544772530537655092815200	0	0.0033554794980202670961680400	0	0.0256428188451406858288458400	0.0529941706412294647588765200	0
sphingomonas	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0214385250294779719155322100	0.0078294521620472898910587700	0.0526164737395962881469434600	1.8998997598899689955008508800	0.0437777931384069491486371300	0.0415613202646070723513316900
rhodoplanes	0	0	0	0	0	0	0.0391696043869956913435174300	0
lysobacter	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0033554794980202670961680400	0.0071749736917631302018559300	0.6853626127701237848800615400	0	0
variovorax	0.0366780193869531045323552500	0.0480907954217562758488025400	0.0357308750491299531925536900	0.0167773974901013354808402100	0.0406581842533244044771835800	0.2098048814602419749632841500	0.0783392087739913826870348600	6.2134173795587573165240882500
ankylochrysis	0	0	0	0	0	0.0326363148938154183276219800	0	0
methanobacterium	0	0	0.0035730875049129953192553700	0	0	0	0.4446902145111863781940508300	0
bacteroides	0.0052397170552790149331936100	0	0.0071461750098259906385107400	0.0011184931660067556987226800	0	0.0023311653495582441662587100	0.1359415681666321052510310800	0
nocardioides	0.0104794341105580298663872200	0	0	0	0.0023916578972543767339519800	0.0139869920973494649975522800	0	0
bacillus	0.0104794341105580298663872200	0.0096181590843512551697605100	0.0250116125343909672347875800	0.0201328769881216025770082500	0.0071749736917631302018559300	0.0139869920973494649975522800	4.7049607151908942190272113500	0.0103903300661517680878329200
sphingobium	0	0	0	0.0011184931660067556987226800	0	0.1958178893628925099657318700	0.0023040943757056289025598500	0.0034634433553839226959443100
rothia	0.0419177364422321194655488600	0	0	0	0.09805797378742944609203100	0.0093246613982329766650348500	0	0.0034634433553839226959443100
