order	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
cytophagales	0.0261985852763950746659680400	0	0.3215778754421695787329831700	0.005592465830033778493613400	0.0310915526643068975413756800	0.0629414644380725924889852400	0.4331697426326582336812515800	0.1350742908599729851418280100
myrtales	0.0052397170552790149331936100	0.0384726363374050206790420300	0	0.0022369863320135113974453600	0.6696642112312254855065531400	0	0.0345614156355844335383977300	0.0034634433553839226959443100
chroococcales	0	0	0	0	0	0	0.0645146425197576092716757700	0
rhabditida	0.0052397170552790149331936100	0	0	0	0	0	0.009216377502822515610239400	0
entomoplasmatales	0	0	0	0	0.0071749736917631302018559300	0	0	0.0034634433553839226959443100
bacillales	0.6759235001309929263819753700	0.3558718861209964412811387900	1.1112302140279415442884196200	0.1375746594188309509428897400	0.8418635798335406103510953800	0.2983891647434552532811152300	16.580263127577705582820672330	0.1350742908599729851418280100
clostridiales	0.0733560387739062090647105100	0.0673271135904587861883235500	0.0607424875835209204273412700	0.0190143838221148468782855700	0.1721993686023151248445422400	0.0559479683893978599902091100	3.1289601622082440496762747400	0.0207806601323035361756658500
salinisphaerales	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0.090915448632771522484089800	0	0.0207806601323035361756658500
agaricales	0	0	0.0071461750098259906385107400	0	0	0	0.0023040943757056289025598500	0
saccharomycetales	0	0	0	0	0	0	0.0529941706412294647588765200	0
hydrogenophilales	0	0	0.0107192625147389859577661100	0.0044739726640270227948907200	0.0023916578972543767339519800	0.0069934960486747324987761400	0.905509089652312158706020600	0.0069268867107678453918886200
sphingobacteriales	0.0052397170552790149331936100	0.0096181590843512551697605100	0.0500232250687819344695751600	0.0089479453280540455897814500	0.1124079211709557064957428500	0.3240319835885959391099610700	3.3593695997788069399322596300	0.0069268867107678453918886200
cardiobacteriales	0	0	0	0	0.0430498421505787812111355600	0	0	0
malasseziales	0	0	0	0	0	0	0.0115204718785281445127992400	0
marchantiales	0	0	0	0	0.0143499473835262604037118500	0	0	0
oscillatoriales	0.0314383023316740895991616500	0.1827450226026738482254496500	0.0214385250294779719155322100	0.0279623291501688924680670200	4.5298000573997895341050416100	0.3799799519779937991001701800	0.0299532268841731757332780400	0.7030790011429363072766944900
chloroflexales	0	0	0.0393039625540429485118090500	0.0011184931660067556987226800	0.0263082368697981440734717300	0.0233116534955824416625871300	0.1958480219349784567175871500	0
syneschococcales	0	0	0	0.0011184931660067556987226800	0	0	0.1428538512937489919587106300	0
acidobacteria	0	0	0.0035730875049129953192553700	0.0022369863320135113974453600	0	0	0.5483744614179396788092440300	0
legionellales	0	0	0	0	0	0.0116558267477912208312935600	0	0
selenomonadales	0	0	0	0.0022369863320135113974453600	0	0.0046623306991164883325174300	0.1290292850395152185433515400	0
rodentia	0	0	0	0	0	0.0093246613982329766650348500	0	0
rhodospirillales	0.0052397170552790149331936100	0	0.0071461750098259906385107400	0.0089479453280540455897814500	0.0023916578972543767339519800	0.1585192437699606033055924700	0.5368539895394115342964447800	0.488345513109133100128147400
planctomycetales	0	0	0	0.0011184931660067556987226800	0	0	0.1774152669293334254971083600	0
lactobacillales	3.4372543882630337961750065500	1.7793594306049822064056939500	93.65419659127452031300246543	97.48674585598281994497013623	1.8200516598105806945374533600	0.9651024547171130848311070700	12.568834819474205663463975480	0.7827381983167665292834135700
coriobacteriales	0	0	0	0	0	0	0.0184327550056450312204787900	0
poales	0	0	0	0	0	0	0	0.0311709901984553042634987700
pseudomonadales	0.4401362326434372543882630300	0.5770895450610753101856304700	0.307285525422517597455961700	0.361273292620182090687425900	1.2962785803118721898019707300	82.75870107466722614635056065	1.9077901430842607313195548500	0.5333702767291240951754234100
neisseriales	0	0.0192363181687025103395210200	0.0285847000393039625540429500	0	0	0	0	0
rubrobacterales	0	0	0	0	0	0	0.0437777931384069491486371300	0
aeromonadales	0	0	0	0	0	0.018649322796465953330069700	0	0
thermoanaerobacterales	0	0	0.0142923500196519812770214700	0.0022369863320135113974453600	0	0	0.2603626644547360659892629200	0
solirubrobacterales	0	0	0	0	0.0334832105615612742753276600	0.0046623306991164883325174300	0.0023040943757056289025598500	0
alphaproteobacteria	0.0052397170552790149331936100	0	0	0	0	0	0.1751111725536277965945485100	0.0623419803969106085269975400
flavobacteriales	0.0314383023316740895991616500	0.0673271135904587861883235500	0.7217636759924250544895844500	0.0324363018141959152629577400	0.0215249210752893906055677800	0.0419609762920483949926568300	4.4445980507361581530379484300	0.0554150936861427631351089300
thiotrichales	0	0	0	0.0011184931660067556987226800	0	0	0.0529941706412294647588765200	0
pinales	0	0	0	0	0	0	0	0.0415613202646070723513316900
gemmatimonadales	0.0052397170552790149331936100	0	0.0035730875049129953192553700	0.0011184931660067556987226800	0.0717497369176313020185592700	0	0	0.0103903300661517680878329200
rhodocyclales	0	0	0.0250116125343909672347875800	0	0	0	0	0
desulfobacterales	0	0	0	0	0	0.0396298109424901508263981200	0	0
