genus	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
lactobacillus	0	0.0361336946702800361336946700	0.4859436305388574925308664200	0.0100830168386381205256612800	0.0675512665862484921592279900	0.0046673356514433735502088600	0.0394797956339990710636321400	0.1005687335275350256623664900
geodermatophilus	0	0	0	0	0	0.0163356747800518074257310200	0.0023223409196470041802136600	0
alkalibacterium	0	0	0	0.0022406704085862490057025100	0	0.0326713495601036148514620400	0.2275894101254064096609382300	0
solobacterium	0	0.0361336946702800361336946700	0	0.0011203352042931245028512500	0	0	0	0
lentzea	0	0	0	0.0011203352042931245028512500	0.0361881785283474065138721400	0	0	0
coprothermobacter	0	0	0.010798747345307944278463700	0	0	0	0	0
aminobacter	0.0736919675755342667649226200	0	0	0	0	0.0420060208629903619518797700	0.0928936367858801672085462100	0
leptolyngbya	0	0	0	0.0011203352042931245028512500	0	0	0.1439851370181142591732466300	0
tistrella	0	0	0	0	0	0	0.0441244774732930794240594500	0
ignavibacterium	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.130051091500232234091964700	0
alkalibacter	0	0	0	0.0011203352042931245028512500	0	0.0070010034771650603253132900	0.3274500696702275894101254100	0
dechloromonas	0	0	0.0251970771390518699830819600	0	0	0	0	0
methylobacterium	0.0937897769143163395189924300	0.1626016260162601626016260200	0.021597494690615888556927400	0.0593777658275355986511164100	0.0410132689987937273823884200	0.1260180625889710858556393100	0.0696702275894101254064096600	7.1091690941878207795810792100
gemella	0.0535941582367521940108528200	0	0.0035995824484359814261545700	0	0	0	0	0
rhodopseudomonas	0	0	0	0	0.0265379975874547647768395700	0	0.2066883418485833720390153300	0
pantoea	42.593957258658806190125276340	33.911472448057813911472448060	0.615528598682552823872430800	0.8996291690473789757895562400	86.31845597104945717732207479	4.8750320879326036731931576900	30.046446818392940083604273110	3.0135941184630323207102233300
dokdonella	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0033610056128793735085537600	0.0048250904704463208685162800	0.0186693426057734942008354500	1.0450534138411518810961449100	0.0069357747260368983215425200
anaerobiospirillum	0	0	0	0	0	0.0186693426057734942008354500	0	0
halothiobacillus	0	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0	0.1672085462145843009753831900	0
longilinea	0	0	0.0071991648968719628523091300	0.0100830168386381205256612800	0	0	1.1774268462610311193683232700	0
aridibacter	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0	0.5527171388759869948908499800	0
bosea	0	0	0	0	0.0868516284680337756332931200	0.0023336678257216867751044300	0.0998606595448211797491871800	0.0034678873630184491607712600
rhodococcus	0.0267970791183760970054264100	0	0	0.0022406704085862490057025100	0.0024125452352231604342581400	0.0350050173858253016265664700	0.2020436600092893636785880200	0.0104036620890553474823137700
oxalobacter	0.1540832049306625577812018500	0.1084010840108401084010840100	0.0539937367265397213923184900	0.0560167602146562251425626500	0.1833534378769601930036188200	0.0816783739002590371286551100	0.1254064096609382257315373900	10.188653072548203634345956440
spiroplasma	0	0	0	0	0.0072376357056694813027744300	0	0	0.0034678873630184491607712600
mesorhizobium	0	0	0	0	0.0289505428226779252110977100	0.0116683391286084338755221600	0	0
klebsiella	0.0200978093387820727540698100	0.0722673893405600722673893400	0	0.0056016760214656225142562700	0.0868516284680337756332931200	0.0046673356514433735502088600	0.0534138411518810961449140700	0
haliangium	0	0	0	0	0	0	0	0.0104036620890553474823137700
agrobacterium	0	0	0	0	0	0.1983617651863433758838766900	0	0
pelistega	0.006699269779594024251356600	0	0	0	0	0	0	0.0069357747260368983215425200
thiomicrospira	0	0	0	0.0011203352042931245028512500	0	0	0.0534138411518810961449140700	0
photobacterium	0	0	0	0	0	0.0396723530372686751767753400	0	0
peptoniphilus	0.0401956186775641455081396100	0	0	0	0.1326899879372738238841978300	0.0093346713028867471004177300	0	0
altererythrobacter	0.006699269779594024251356600	0	0	0	0.0144752714113389626055488500	0.0256703460829385545261487500	0.2090106827682303762192289800	0
erysipelothrix	0.013398539559188048502713200	0.0361336946702800361336946700	0	0	0	0	0	0
devosia	0	0	0	0	0	0.0070010034771650603253132900	0.0023223409196470041802136600	0.0104036620890553474823137700
halomonas	0.0200978093387820727540698100	0.0722673893405600722673893400	0.212375364457722904143119400	0.0033610056128793735085537600	0.1712907117008443908323281100	0.0793447060745373503535506800	0.1416627960984672549930329800	0
pseudoxanthomonas	0.013398539559188048502713200	0.0180668473351400180668473400	0.0575933191749757028184730600	0.0022406704085862490057025100	0.0120627261761158021712907100	0.0070010034771650603253132900	1.1658151416627960984672549900	0.0069357747260368983215425200
levilinea	0	0	0	0	0	0	0.2020436600092893636785880200	0
xylella	0	0	0	0	0	0.0116683391286084338755221600	0	0
comamonas	0	0.0180668473351400180668473400	0.0179979122421799071307728300	0	0.0024125452352231604342581400	0.0023336678257216867751044300	0.1555968416163492800743149100	0.0034678873630184491607712600
desulfuromonas	0	0	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1114723641430562006502554600	0
aphanothece	0	0	0	0	0	0	0.0534138411518810961449140700	0
skermanella	0	0	0	0.0044813408171724980114050100	0	0.0093346713028867471004177300	0.0046446818392940083604273100	0.2739631016784574837009293900
dehalococcoides	0	0	0	0.0011203352042931245028512500	0	0	0.0371574547143520668834184900	0
staphylococcus	0.7503182153145307161519394400	0.361336946702800361336946700	0.0791908138655915913754004500	0.0224067040858624900570250600	0.6948130277442702050663449900	0.1913607617091783155585633900	1.0915002322340919647004180200	0.0277430989041475932861700700
halospirulina	0.0401956186775641455081396100	0.3432700993676603432700993700	0.0179979122421799071307728300	0.0280083801073281125712813300	4.5307599517490952955367913100	0.3803878555926349443420223600	0.0301904319554110543427775200	0.703981134692745179636565400
actinomadura	0	0	0	0	0	0	0.0371574547143520668834184900	0
roseovarius	0	0	0	0	0	0.0396723530372686751767753400	0	0
finegoldia	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0.0024125452352231604342581400	0.0233366782572168677510443200	0.1788202508128193218764514600	0
candidatus alysiosphaera	0.006699269779594024251356600	0	0	0	0	0	0	0.0624219725343320848938826500
stenotrophomonas	0.013398539559188048502713200	0.0361336946702800361336946700	0.010798747345307944278463700	0.0044813408171724980114050100	0.4414957780458383594692400500	0.0186693426057734942008354500	0.6781235485369252206223873700	0.0104036620890553474823137700
ethanoligenens	0	0.0722673893405600722673893400	0	0	0	0	0	0.0069357747260368983215425200
tepidiphilus	0	0	0.010798747345307944278463700	0.0044813408171724980114050100	0.0024125452352231604342581400	0.0070010034771650603253132900	0.9126799814212726428239665600	0.0069357747260368983215425200
proteiniphilum	0.0267970791183760970054264100	0	0.021597494690615888556927400	0.0123236872472243695313637800	0	0.0070010034771650603253132900	1.8810961449140733859730608500	0
bradyrhizobium	0.006699269779594024251356600	0.0180668473351400180668473400	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.390153274500696702275894100	0
rufibacter	0	0	0.1475828803858752384723372100	0	0	0	0	0
laceyella	0	0.1445347786811201445347786800	0	0	0	0	0	0
dietzia	0.0468948884571581697594962100	0	0.2483711889420827184046650600	0.0033610056128793735085537600	0.0506634499396863691194209900	0	0.0464468183929400836042731100	0.0208073241781106949646275500
deinococcus	0	0	0	0	0	0	0	0.0138715494520737966430850300
veillonella	0	0	0	0.0022406704085862490057025100	0	0.0046673356514433735502088600	0.130051091500232234091964700	0
