species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
dietzia maris	0.006699269779594024251356600	0	0	0.0022406704085862490057025100	0	0	0.041802136553646075243845800	0.0138715494520737966430850300
halomonas xinjiangensis	0.0200978093387820727540698100	0.0722673893405600722673893400	0.212375364457722904143119400	0.0033610056128793735085537600	0.1712907117008443908323281100	0.0793447060745373503535506800	0.1416627960984672549930329800	0
acinetobacter towneri	0.0535941582367521940108528200	0.1264679313459801264679313500	0.0071991648968719628523091300	0.0044813408171724980114050100	0.4607961399276236429433051900	0.0490070243401554222771930600	0.2484904784022294472828611200	0.0069357747260368983215425200
thermoanaerobacterium saccharolyticum	0	0	0.0035995824484359814261545700	0	0	0	0.150952159777055271713887600	0
enterococcus spp.	0.0200978093387820727540698100	0	0.2447716064936467369785104900	0.324897209245006105826863400	0	0.0023336678257216867751044300	0	0
alloscardovia omnicolens	0	0	0	0	0	0.0210030104314951809759398800	0	0
eubacterium spp.	0	0	0	0	0.0289505428226779252110977100	0	0	0
mesorhizobium septentrionale	0	0	0	0	0	0.0116683391286084338755221600	0	0
leptolyngbya mycoidea	0	0	0	0.0011203352042931245028512500	0	0	0.1439851370181142591732466300	0
serratia marcescens	0.1942788236082267032893414600	0.8672086720867208672086720900	0.0287966595874878514092365300	0.0056016760214656225142562700	0.7575392038600723763570566900	0.1563557443233530139319969200	0.0301904319554110543427775200	0.0173394368150922458038562900
altererythrobacter spp.	0	0	0	0	0.0144752714113389626055488500	0.0256703460829385545261487500	0	0
comamonas jiangduensis	0	0.0180668473351400180668473400	0.0179979122421799071307728300	0	0.0024125452352231604342581400	0.0023336678257216867751044300	0.1555968416163492800743149100	0.0034678873630184491607712600
finegoldia magna	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0.0024125452352231604342581400	0.0233366782572168677510443200	0.1788202508128193218764514600	0
rubellimicrobium spp.	0	0.0180668473351400180668473400	0	0	0	0.0326713495601036148514620400	0	0
candidatus rhabdochlamydia porcellionis	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.7431490942870413376683697200	0
pelobacter spp.	0	0	0	0	0	0	0.0069670227589410125406409700	0
gemmatimonas spp.	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0.0104036620890553474823137700
