identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
massilia timonae	0.5359415823675219401085281700	0.8852755194218608852755194200	0.2699784017278617710583153300	0.3137008862050035291349698100	0.535585042219541616405307600	0.4667335651443373550208863300	0.2677345005005471096314576400	65.948813982521847690387016230
bacteroides dorei	0.006699269779594024251356600	0	0.003599712023038156947444200	0.0011203603078750126040534600	0	0.0023336678257216867751044300	0.0023281260913091053011431100	0
halomonas xinjiangensis	0.0200978093387820727540698100	0.0722673893405600722673893400	0.2123830093592512598992080600	0.0033610809236250378121603900	0.1712907117008443908323281100	0.0793447060745373503535506800	0.142015691569855423369729700	0
saprospiraceae	0	0.0180668473351400180668473400	0	0.0011203603078750126040534600	0	0.0023336678257216867751044300	0.2002188438525830558983074500	0
clostridiales	0	0	0	0.0011203603078750126040534600	0	0.0093346713028867471004177300	0.6029846576490582729960654700	0.0034678873630184491607712600
leucobacter luti	0	0	0	0	0	0	0.0069843782739273159034293300	0
haemophilus parainfluenzae	0.006699269779594024251356600	0	0	0	0	0.0116683391286084338755221600	0	0
prevotella spp.	0	0.0542005420054200542005420100	0	0	0	0	0	0
xanthomonas sp.	0	0	0.0287976961843052555795536400	0	0	0	0	0
kofleriaceae	0	0	0	0	0	0	0	0.0104036620890553474823137700
burkholderia spp.	0	0	0	0	0	0	0.1303750611133098968640141600	0
streptococcus sanguinis	0.314865679640919139813760300	0.0180668473351400180668473400	0.1295896328293736501079913600	0.0022407206157500252081069300	0.1640530759951749095295536800	0.1610230799747963874822057800	0.0745000349218913696365795200	0
pelobacter spp.	0	0	0	0	0	0	0.0069843782739273159034293300	0
