family	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
veillonellaceae	0	0	0	0.0022406704085862490057025100	0	0.0046673356514433735502088600	0.130051091500232234091964700	0
bacillaceae	0.0267970791183760970054264100	0.0542005420054200542005420100	0.3203628379108023469277563800	0.0705811178704668436796289400	0.1375150784077201447527141100	0.0490070243401554222771930600	8.065490013934045517882025080	0.0693577472603689832154251600
clostridiaceae	0	0.0361336946702800361336946700	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0.0046673356514433735502088600	0.7292150487691593125870877800	0.0034678873630184491607712600
succinivibrionaceae	0	0	0	0	0	0.0186693426057734942008354500	0	0
porphyromonadaceae	0.0736919675755342667649226200	0	0.021597494690615888556927400	0.0123236872472243695313637800	0.0024125452352231604342581400	0.0490070243401554222771930600	1.8810961449140733859730608500	0
ignavibacteriaceae	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.130051091500232234091964700	0
deinococcaceae	0	0	0	0	0	0	0	0.0138715494520737966430850300
micrococcaceae	0.1272861258122864607757754400	0.1626016260162601626016260200	0.0251970771390518699830819600	0.0616184362361218476568189200	0.1182147165259348612786489700	0.1936944295349000023336678300	0.1950766372503483511379470500	3.148841725620751837980302400
acidobacteria	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0	0.5527171388759869948908499800	0
flavobacteriaceae	0	0.1264679313459801264679313500	0.6911198300997084338216766900	0.0291287153116212370741325800	0.0217129071170084439083232800	0.0420060208629903619518797700	4.2731072921504876915931258700	0.0554861978082951865723401300
actinomycetaceae	0.0200978093387820727540698100	0.1445347786811201445347786800	0.010798747345307944278463700	0.0078423464300518715199587700	0.0144752714113389626055488500	0.0070010034771650603253132900	0.9753831862517417556897352500	0.0034678873630184491607712600
dietziaceae	0.0468948884571581697594962100	0	0.2483711889420827184046650600	0.0033610056128793735085537600	0.0506634499396863691194209900	0	0.0464468183929400836042731100	0.0208073241781106949646275500
halomonadaceae	0.1071883164735043880217056300	0.1987353206865401987353206900	0.212375364457722904143119400	0.0033610056128793735085537600	0.1712907117008443908323281100	0.0793447060745373503535506800	0.1416627960984672549930329800	0
halothiobacillaceae	0	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0	0.1672085462145843009753831900	0
cyanobacteriaceae	0	0	0	0	0	0	0.0116117045982350209010682800	0
methylophilaceae	0.006699269779594024251356600	0	0	0	0.0506634499396863691194209900	0	0	0
piscirickettsiaceae	0	0	0	0.0011203352042931245028512500	0	0	0.0534138411518810961449140700	0
pasteurellaceae	0.0669926977959402425135660200	0	0	0	0	0.0116683391286084338755221600	0	0
alcaligenaceae	0.006699269779594024251356600	0	0	0	0	0	0	0.0069357747260368983215425200
chitinophagaceae	0	0	0	0.0044813408171724980114050100	0.1061519903498190591073582600	0.2310331147464469907353387300	1.2958662331630283325592196900	0.0069357747260368983215425200
acidimicrobiaceae	0	0	0	0	0	0	0.0557361820715281003251277300	0
enterobacteriaceae	92.16185435787499162591277551	90.87624209575429087624209575	0.7595118966199920809186134400	1.048633751218364534668772900	88.33775633293124246079613993	5.3954400130685398240414459400	30.292614955875522526706920580	3.190456373976973227909557500
bdellovibrionaceae	0	0	0	0.0011203352042931245028512500	0	0.0093346713028867471004177300	0.0905712958662331630283325600	0
saprospiraceae	0.006699269779594024251356600	0.0180668473351400180668473400	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0070010034771650603253132900	0.8081746400371574547143520700	0
sphingobacteriaceae	0	0	0.0467945718296677585400093600	0.0033610056128793735085537600	0.0048250904704463208685162800	0.0863457095517024106788639700	1.2819321876451463074779377600	0
brucellaceae	0	0.0180668473351400180668473400	0.0899895612108995356538641500	0.0011203352042931245028512500	0	0.0490070243401554222771930600	0.5503947979563399907106363200	0
intrasporangiaceae	0	0.0180668473351400180668473400	0.0071991648968719628523091300	0	0	0.0210030104314951809759398800	0	0.0034678873630184491607712600
sphingomonadaceae	0.006699269779594024251356600	0.0903342366757000903342366800	0.021597494690615888556927400	0.0134440224515174940342150400	0.250904704463208685162846800	2.1563090709668385801964948300	0.7361820715281003251277287500	0.0450825357192398390900263600
beijerinckiaceae	0	0	0.010798747345307944278463700	0	0	0	0	0
staphylococcaceae	0.7503182153145307161519394400	0.4336043360433604336043360400	0.0791908138655915913754004500	0.0224067040858624900570250600	0.6948130277442702050663449900	0.1913607617091783155585633900	1.0915002322340919647004180200	0.0277430989041475932861700700
alcanivoracaceae	0	0	0	0	0	0.0420060208629903619518797700	0	0
labilitrichaceae	0	0	0	0	0	0	0.1741755689735253135160241500	0
williamsiaceae	0	0	0	0	0	0.0326713495601036148514620400	0	0
thermomonosporaceae	0	0	0	0	0	0	0.0371574547143520668834184900	0
thermoanaerobacteraceae	0	0	0	0.0022406704085862490057025100	0	0	0.1114723641430562006502554600	0
coriobacteriaceae	0	0	0	0	0	0	0.0185787273571760334417092400	0
thermaceae	0	0	0	0	0	0	0.0092893636785880167208546200	0
bacteroidaceae	0.006699269779594024251356600	0	0.0071991648968719628523091300	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1370181142591732466326056700	0
microthrixaceae	0	0.1084010840108401084010840100	0	0	0	0	0	0
corynebacteriaceae	0.1339853955918804850271320400	0.3794037940379403794037940400	0.3023649256686224397969835500	0.035850726537379984091240100	0.1037394451145958986731001200	0.1516884086719096403817880600	3.5160241523455643288434742200	0.0693577472603689832154251600
promicromonosporaceae	0	0	0.0179979122421799071307728300	0	0.0024125452352231604342581400	0	0	0.0034678873630184491607712600
desulfuromonadaceae	0	0	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1114723641430562006502554600	0
xanthomonadaceae	0.0401956186775641455081396100	0.1806684733514001806684733500	0.201576617112414959864655700	0.0156846928601037430399175400	0.4656212303980699638118214700	0.7467737042309397680334181200	3.4951230840687412912215513200	0.0242752115411291441253988100
burkholderiales	0.0535941582367521940108528200	0.1626016260162601626016260200	0.19077786976710701558619200	0.0123236872472243695313637800	0.0892641737032569360675512700	2.5460315978623602716389349100	1.212261960055736182071528100	0.0242752115411291441253988100
hyphomicrobiaceae	0.0200978093387820727540698100	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0.0373386852115469884016709100	0.4621458430097538318625174200	0.0138715494520737966430850300
leptolyngbyaceae	0	0	0	0.0011203352042931245028512500	0	0	0.1439851370181142591732466300	0
planctomycetaceae	0	0	0	0.0011203352042931245028512500	0	0	0.1788202508128193218764514600	0
chroococcales	0	0	0	0	0	0	0.0534138411518810961449140700	0
bradyrhizobiaceae	0.006699269779594024251356600	0.0180668473351400180668473400	0	0.0011203352042931245028512500	0.1158021712907117008443908300	0.0046673356514433735502088600	0.6967022758941012540640966100	0.0034678873630184491607712600
rhodobacteraceae	0	0.0180668473351400180668473400	0	0.0044813408171724980114050100	0.0024125452352231604342581400	0.7397727007537747077081048300	0	0
chloroflexaceae	0	0	0.0395954069327957956877002300	0.0011203352042931245028512500	0.0265379975874547647768395700	0.0233366782572168677510443200	0.1973989781699953553181607100	0
dehalococcoidaceae	0	0	0	0.0011203352042931245028512500	0	0	0.0371574547143520668834184900	0
verrucomicrobia subdivision 3	0	0	0	0	0	0	0	0.0554861978082951865723401300
rhodospirillales	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0163356747800518074257310200	0.4876915931258708778448676300	0
synechococcaceae	0.006699269779594024251356600	0	0	0	0.0072376357056694813027744300	0	0	0
acetobacteraceae	0.006699269779594024251356600	0	0.0071991648968719628523091300	0.0033610056128793735085537600	0	0	0.0046446818392940083604273100	0.2150090165071438479678180100
geobacteraceae	0	0	0.010798747345307944278463700	0	0	0	0.1695308871342313051555968400	0
ectothiorhodospiraceae	0	0	0	0	0	0	0.0255457501161170459823502100	0
cardiobacteriaceae	0	0	0	0	0.0434258142340168878166465600	0	0	0
