phylum	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
bacteroidetes	0.1607824747102565820325584500	0.1987353206865401987353206900	1.1302688888088981678125337500	0.0604981010318287231539676700	0.1712907117008443908323281100	0.4900702434015542227719306400	10.424988388295401764979098930	0.1976695796920516021639617100
chloroflexi	0	0	0.0503941542781037399661639200	0.0145643576558106185370662900	0.0313630880579010856453558500	0.0256703460829385545261487500	2.0715281003251277287505805900	0
actinobacteria	0.3818583774368593823273263200	0.975609756097560975609756100	0.7307152370325042295093769100	0.1355605597194680648450016200	0.4342581423401688781664656200	0.5740822851275349466756901800	7.6706920575940548072457036700	3.7522541267859619919545013200
verrucomicrobia	0	0	0.0251970771390518699830819600	0	0	0.0280040139086602413012531800	0	0.0554861978082951865723401300
cyanobacteria	0.0468948884571581697594962100	0.3432700993676603432700993700	0.021597494690615888556927400	0.0291287153116212370741325800	4.5765983112183353437876960200	0.3803878555926349443420223600	0.239201114723641430562006500	0.703981134692745179636565400
chlamydiae	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.7431490942870413376683697200	0
acidobacteria	0	0	0.0035995824484359814261545700	0.0022406704085862490057025100	0	0	0.6177426846261031119368323300	0.0138715494520737966430850300
gemmatimonadetes	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0.0723763570566948130277442700	0	0	0.0104036620890553474823137700
planctomycetes	0	0	0	0.0011203352042931245028512500	0	0	0.1788202508128193218764514600	0
ignavibacteriae	0	0	0	0.0011203352042931245028512500	0.0024125452352231604342581400	0.0023336678257216867751044300	0.130051091500232234091964700	0
firmicutes	5.3661150934548134253366383100	4.2095754290876242095754290900	95.54371692883625499442064720	97.80974467560694159692580020	2.8588661037394451145958986700	1.3255233250099180882593171700	32.926149558755225267069205760	0.9397974753779997225690109600
proteobacteria	94.03764989616131841629262410	94.20054200542005420054200542	2.4909110543176991468989597200	1.9437815794485710124469241200	91.84318455971049457177322075	97.17392826305103731534853329	44.988388295401764979098931720	94.30919683728672492717436538
fusobacteria	0	0.0722673893405600722673893400	0	0	0	0	0	0
deinococcus_thermus	0	0	0	0	0	0	0.0092893636785880167208546200	0.0138715494520737966430850300
tenericutes	0	0	0	0	0.0072376357056694813027744300	0	0	0.0034678873630184491607712600
